カード番号,カード名,カード種類,カードタイプ,色,レベル,コスト,パワー,効果テキスト,ライフバースト,使用タイミング
WXDi-P11-005,白夜の使者　サシェ・モティエ,ルリグ,サシェ,白,3,-,-,【自】《ターン１回》：あなたのターンの間、あなたの白のシグニ１体が場に出たとき、対戦相手のシグニ１体を対象とし、《白》《白》《無》を支払ってもよい。そうした場合、それを手札に戻す。【起】《ターン１回》《白×0》：あなたの白のシグニ１体を対象とし、次の対戦相手のターン終了時まで、それのパワーを＋2000する。【起】《ゲーム１回》《白×0》：次の対戦相手のターンの間、対戦相手は「【常】：あなたは《無》《無》を支払わないかぎりシグニでアタックできない。」を得る。,―,―
WXDi-D03-008,明日へ飛翔　レイ,ルリグ,レイ,青,0,-,-,―,―,―
WXDi-D03-010,レイ＊無我斬,アシストルリグ,レイ,青,2,-,-,【出】：カードを２枚引く。対戦相手の手札を２枚見ないで選び、捨てさせる。,―,メインフェイズ
WXDi-P13-001,不穏☆FU☆ON！,ピース,-,青,-,《青》×１,-,【使用条件】【ドリームチーム】合計３種類以上の色を持つ（あなたの場にいるルリグ３体がこの条件を満たす）カードを２枚引き、あなたの手札からシグニを３枚まで場に出す。その後、あなたの場に《ディソナアイコン》のシグニが３体ある場合、対戦相手のシグニ１体を対象とし、それをデッキの一番下に置き、対戦相手は手札を２枚捨てる。,―,メインフェイズ
WXDi-D03-011,Glory　Grow,ピース,-,赤白青,-,《赤》×０,-,【使用条件】【チーム】＜No Limit＞＆全員レベル１以上あなたのレベル３のルリグ１体を対象とし、ターン終了時まで、それは以下の能力を得る。『【常】：【ダブルクラッシュ】（アタックによるダメージでライフクロスを２枚クラッシュする）【常】：対戦相手は【ガード】ができない。』,―,メインフェイズ
WXDi-D03-018,羅石　ブロンズ,シグニ,奏羅：宝石,赤青,1,-,5000,（エナコストを支払う際、このカードは赤か青１つとして支払える）,―,―
WXDi-P11-006,アロス・ピルルク　MIRA,ルリグ,ピルルク,青,3,-,-,【自】：あなたがシグニを１枚捨てたとき、あなたのチェックゾーンにあるカードが４枚以下の場合、そのシグニをトラッシュからチェックゾーンに置いてもよい。（チェックゾーンにあるカードはターン終了時にトラッシュに置かれる）【自】：あなたのアタックフェイズ開始時、対戦相手のシグニ１体を対象とし、ターン終了時まで、それのパワーをあなたのチェックゾーンにあるカード１枚につき－1000する。その後、あなたのチェックゾーンから《ガードアイコン》を持たないカードを１枚まで対象とし、それを手札に加える。【起】《ゲーム１回》《青×0》：カードを３枚引き、手札を２枚捨てる。,―,―
WXDi-D03-015,紅天　カグツチ,シグニ,奏像：天使,赤,3,-,10000,【常】：あなたのターンの間、あなたのシグニのパワーを＋2000する。【出】手札を２枚捨てる：あなたのトラッシュからレベル３のシグニ１枚を対象とし、それを場に出す。,ライフバースト：あなたのトラッシュから《ガードアイコン》を持たないシグニ１枚を対象とし、それを手札に加えるか場に出す。,―
WXDi-D03-002,奇跡へ一歩　ヒラナ,ルリグ,ヒラナ,赤,1,-,-,―,―,―
WXDi-P11-003,トリックスター・スターダム！,ピース,-,無,-,《無》×１,-,【使用条件】【ドリームチーム】合計３種類以上の色を持つ（あなたの場にいるルリグ３体がこの条件を満たす）このゲームの間、あなたは以下の能力を得る。『【自】：あなたのメインフェイズ開始時、以下の３つからまだ選んでいないもの１つを選ぶ。①カードを２枚引く。②【エナチャージ２】③あなたのトラッシュからシグニ１枚を対象とし、それをデッキの一番上に置く。』,―,メインフェイズ
WXDi-D03-007,アキノ＊パー,アシストルリグ,アキノ,白,2,-,-,【出】：対戦相手のパワー12000以下のシグニ１体を対象とし、それを手札に戻す。【出】：対戦相手のシグニ１体を対象とし、ターン終了時まで、それは「【常】：アタックできない。」を得る。,―,メインフェイズ アタックフェイズ
WXDi-D03-021,轟音の炎球,スペル,-,赤,-,《赤》×１,-,対戦相手のパワー8000以下のシグニ１体を対象とし、それをバニッシュする。あなたの場に＜No Limit＞のルリグが３体いる場合、代わりに対戦相手のパワー10000以下のシグニ１体を対象とし、それをバニッシュする。,ライフバースト：対戦相手のアップ状態のシグニ１体を対象とし、それをバニッシュする。,―
WXDi-D03-003,真実へ一歩　ヒラナ,ルリグ,ヒラナ,赤,2,-,-,―,―,―
WXDi-P11-008,喝采の歌姫　アルフォウ,ルリグ,アルフォウ,黒,3,-,-,【自】《ターン１回》：対戦相手がリフレッシュしたとき、カードを１枚引くか【エナチャージ１】をする。【出】：対戦相手のシグニ１体を対象とし、それをバニッシュする。【起】《ゲーム１回》《黒×0》：対戦相手のデッキの上からカードを８枚トラッシュに置く。その後、対戦相手のトラッシュから《ガードアイコン》を持たないカードを３枚まで対象とし、それらをゲームから除外する。,―,―
WXDi-P11-002,ミステリアス・チョイス,ピース,-,無,-,《無》×１,-,【使用条件】【ドリームチーム】合計３種類以上の色を持つ（あなたの場にいるルリグ３体がこの条件を満たす）このゲームの間、対戦相手は以下の能力を得る。『【自】：あなたのターン終了時、以下の３つからまだ選んでいないもの１つを選ぶ。①あなたは手札を２枚捨てる。②あなたのエナゾーンからカード２枚を選びトラッシュに置く。③あなたは自分のシグニ１体を選びトラッシュに置く。』,―,メインフェイズ
WXDi-P11-009,ミュウ＝ブロッサム,ルリグ,ミュウ,黒,3,-,-,【常】：【チャーム】が付いている対戦相手のシグニのパワーを－3000する。【起】《ターン１回》《黒×0》：対戦相手のシグニ１体を対象とし、対戦相手のトラッシュからカード１枚をそれの【チャーム】にする。（【チャーム】は裏向きでシグニに付き、１体に１枚までしか付けられない）【起】《ゲーム１回》《黒×0》：シグニのない対戦相手のシグニゾーン１つを指定する。このターンと次のターンの間、対戦相手は《無》《無》《無》《無》《無》を支払わないかぎり指定されたシグニゾーンにシグニを新たに配置できない。,―,―
WXDi-D03-012,小装　ローメイル,シグニ,奏武：アーム,赤,1,-,2000,【出】《無》：対戦相手のパワー3000以下のシグニ１体を対象とし、それをバニッシュする。（【出】能力の：の左側はコストである。コストを支払わず発動しないことを選んでもよい）,―,―
WXDi-D03-004,頂点へ一歩　ヒラナ,ルリグ,ヒラナ,赤,3,-,-,【チーム】＜No Limit＞【チーム常】：アタックしているあなたのシグニのパワーを＋2000する。【出】：カードを１枚引き、【エナチャージ１】をする。【起】《ゲーム１回》《赤×0》：ターン終了時まで、このルリグは「【自】：このルリグがアタックしたとき、あなたのアップ状態のレベル２のルリグ２体をダウンしてもよい。そうした場合、対戦相手が《ガードアイコン》を持つカードを１枚捨てないかぎり、対戦相手にダメージを与える。」を得る。,―,―
